國家,經度,緯度
羅馬尼亞,26.06,44.26
布加勒斯特,26.06,44.26
保加利亞,23.19,42.41
索非亞,23.19,42.41
希臘,23.43,37.58
雅典,23.43,37.58
斯巴達,22.25,37.05
馬其頓,21.28,42.00
史高比耶,21.28,42.00
波蘭,21.00,52.15
華沙,21.00,52.15
南斯拉夫,20.30,44.50
貝爾格勒,20.30,44.50
阿爾巴尼亞,19.50,41.20
地拉那,19.50,41.20
匈牙利,19.05,47.30
布達佩斯,19.05,47.30
斯洛伐克,17.10,48.10
布拉提斯拉瓦,17.10,48.10
捷克,14.26,50.05
布拉格,14.26,50.05
克羅埃西亞,15.58,45.48
札格雷布,15.58,45.48
斯洛維尼亞,14.31,46.03
盧布亞納,14.31,46.03
馬爾他,14.31,35.54
瓦萊塔,14.31,35.54
奧地利,16.20,48.13
維也納,16.20,48.13
德國,13.25,52.30
柏林,13.25,52.30
萊比錫,12.20,51.19
波茨坦,12.08,50.30
慕尼黑,11.34,48.08
漢堡,9.59,53.33
漢諾威,9.44,52.24
海德堡,8.43,49.25
丹麥,12.35,55.40
哥本哈根,12.35,55.40
挪威,10.45,59.56
奧斯陸,10.45,59.56
瑞典,18.03,59.20
斯德哥爾摩,18.03,59.20
哥德堡,11.58,57.45
芬蘭,24.58,60.10
赫爾辛基,24.58,60.10
瑞士,6.09,46.12
日內瓦,6.09,46.12
荷蘭,4.54,52.22
阿姆斯特丹,4.54,52.22
比利時,4.20,50.50
布魯塞爾,4.20,50.50
盧森堡,6.09,49.36
盧森堡,6.09,49.36
英國,0.10,51.30
倫敦,0.10,51.30
伯明罕,1.50,52.30
劍橋,0.08,52.13
愛丁堡,3.13,55.57
利物浦,2.55,53.25
曼徹斯特,2.15,53.30
南安普敦,1.25,50.55
牛津,-1.15,51.46
樸資茅斯,-1.05,50.48
愛爾蘭,-6.15,53.20
都柏林,-6.15,53.20
法國,2.20,48.52
巴黎,2.20,48.52
普羅旺斯,5.27,43.31
馬賽,5.24,43.18
西班牙,2.10,41.25
巴賽隆那,2.10,41.25
馬德裡,-3.41,40.24
葡萄牙,-9.08,38.43
裡斯本,-9.08,38.43
意大利,14.17,40.51
那不勒斯,14.17,40.51
羅馬,12.29,41.54
威尼斯,12.21,45.27
佛羅倫斯,11.15,43.46
比薩,10.23,43.43
米蘭,9.12,45.28
梵蒂岡,12.27,41.54
梵蒂岡城,12.27,41.54
冰島,-21.51,64.09
雷克雅維克,-21.51,64.09
加拿大,-79.25,43.42
多倫多,-79.25,43.42
渥太華,-75.42,45.25
蒙特利亞,-73.34,45.31
魁北克,-71.14,46.49
溫哥華,-123.07,49.16
美,-74.00,40.43
美國,-71.04,42.22
波士頓,-71.04,42.22
斯坦福,-73.32,41.03
紐約,-74.00,40.43
費城,-75.10,39.57
巴爾的摩,-76.37,39.17
華盛頓,-77.02,38.54
匹茲堡,-80.00,40.26
邁阿密,-80.11,25.47
克利夫蘭,-81.42,41.30
底特律,-83.03,42.20
亞特蘭大,-84.23,33.45
芝加哥,-87.38,41.53
新奧爾良,-90.04,29.58
坎薩斯城,-94.38,39.07
休士頓,-95.22,29.46
達拉斯,-96.49,32.47
丹佛,-104.59,39.44
洛杉磯,-118.15,34.04
聖何塞,-121.53,37.20
西雅圖,-122.20,47.36
舊金山,-122.33,37.47
火奴魯魯,-157.52,21.19
古巴,-82.22,23.08
哈瓦那,-82.22,23.08
巴哈馬,-77.21,25.05
拿騷,-77.21,25.05
牙買加,-76.48,17.58
金斯頓,-76.48,17.58
海地,-72.20,18.32
太子港,-72.20,18.32
墨西哥,-99.09,19.24
墨西哥城,-99.09,19.24
瓜地馬拉,-90.31,14.38
瓜地馬拉,-90.31,14.38
伯利茲,-88.47,17.15
貝爾墨邦,-88.47,17.15
薩爾瓦多,-89.12,13.42
聖薩爾瓦多,-89.12,13.42
洪都拉斯,-87.13,14.06
德古西加巴,-87.13,14.06
尼加拉瓜,-86.17,12.09
馬那瓜,-86.17,12.09
哥斯大黎加,-84.05,9.56
聖何塞,-84.05,9.56
巴拿馬,-79.32,8.58
巴拿馬城,-79.32,8.58
厄瓜多爾,-78.30,0.13
基多,-78.30,0.13
哥倫比亞,-74.05,4.36
聖菲波哥大,-74.05,4.36
秘魯,-77.03,-12.03
利馬,-77.03,-12.03
智利,-70.40,-33.27
聖地牙哥,-70.40,-33.27
多明尼加,-69.54,18.28
聖多明哥,-69.54,18.28
委內瑞拉,-66.56,10.30
卡拉卡斯,-66.56,10.30
玻利維亞,-65.17,-19.02
蘇克雷,-65.17,-19.02
多明尼克國,-61.24,15.18
羅索,-61.24,15.18
阿根廷,-58.27,-34.36
布宜諾賽勒斯,-58.27,-34.36
圭亞那,-58.10,6.48
喬治敦,-58.10,6.48
巴拉圭,-57.40,-25.16
亞松森,-57.40,-25.16
烏拉圭,-56.11,-34.53
蒙特維多,-56.11,-34.53
蘇裡南,-55.10,5.50
巴拉馬利波,-55.10,5.50
巴西,-47.55,-15.47
巴西利亞,-47.55,-15.47
里約熱內盧,-43.15,-22.54
聖保羅,-46.38,-23.33
埃及,31.15,30.03
開羅,31.15,30.03
蘇丹,32.32,15.36
喀土穆,32.32,15.36
索馬裡,45.20,2.01
摩加迪休,45.20,2.01
坦桑尼亞,39.17,6.48
達累斯薩拉姆,39.17,6.48
烏幹達,32.25,0.19
坎帕拉,32.25,0.19
中非,18.35,4.22
班基,18.35,4.22
查德,15.03,12.07
恩賈梅納,15.03,12.07
利比亞,13.11,32.54
的黎波里,13.11,32.54
喀麥隆,11.31,3.52
雅恩德,11.31,3.52
突尼斯,10.11,36.48
突尼斯,10.11,36.48
加蓬,9.27,0.23
利伯維爾,9.27,0.23
赤道幾內亞,8.46,3.45
馬拉博,8.46,3.45
阿爾及利亞,3.08,36.42
阿爾及爾,3.08,36.42
摩洛哥,-6.51,34.02
拉巴特,-6.51,34.02
卡薩布蘭卡,-7.35,33.39
西撒哈拉,-13.12,27.09
阿尤恩,-13.12,27.09
茅利塔尼亞,-15.57,18.06
諾克少,-15.57,18.06
塞內加爾,-17.26,14.40
達喀爾,-17.26,14.40
岡比亞,-16.39,13.28
班珠爾,-16.39,13.28
馬裡,-8.00,12.39
巴馬科,-8.00,12.39
象牙海岸,-5.17,6.49
亞穆蘇克羅,-5.17,6.49
加納,-0.15,5.33
阿克拉,-0.15,5.33
肯雅,36.49,-1.17
內羅畢,36.49,-1.17
馬拉維,33.44,-13.59
里朗威,33.44,-13.59
