Feed ID,Title,Published Time,Link,longitude,latitude
1,立委選舉登記首日他帶台灣國鈔票被拒收 - 聯合新聞網,"Tue, 24 Nov 2015 04:49:42 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGOQT3GrjR-xgS5im34qeSf92_c9w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779743895545&ei=8kNUVpDlItSc4wLq6LqICA&url=http://udn.com/news/story/7876/1333773-%25E7%25AB%258B%25E5%25A7%2594%25E9%2581%25B8%25E8%2588%2589%25E7%2599%25BB%25E8%25A8%2598%25E9%25A6%2596%25E6%2597%25A5-%25E4%25BB%2596%25E5%25B8%25B6%25E5%258F%25B0%25E7%2581%25A3%25E5%259C%258B%25E9%2588%2594%25E7%25A5%25A8%25E8%25A2%25AB%25E6%258B%2592%25E6%2594%25B6,72.16582149381507,60.848466959563154
2,風評：一件台灣可與北韓比肩的事  你覺得光釆嗎？ - 風傳媒,"Tue, 24 Nov 2015 04:25:42 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH4I9YXY10eqGvc5GyEbBakUhVHgA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=8kNUVpDlItSc4wLq6LqICA&url=http://www.storm.mg/article/74554,121.3988206712853,24.939093540204052
3,反IS夥伴宋楚瑜：台灣不需參加 - 聯合新聞網,"Tue, 24 Nov 2015 05:55:00 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEw27YG9LJzkslQs0KN4J5peijQ-w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745506827&ei=8kNUVpDlItSc4wLq6LqICA&url=http://udn.com/news/story/1/1334437-%25E5%258F%258DIS%25E5%25A4%25A5%25E4%25BC%25B4-%25E5%25AE%258B%25E6%25A5%259A%25E7%2591%259C%25EF%25BC%259A%25E5%258F%25B0%25E7%2581%25A3%25E4%25B8%258D%25E9%259C%2580%25E5%258F%2583%25E5%258A%25A0,121.24105152080071,25.106820015719038
4,韋安觀點：大陸網軍狂襲，台灣臉書玩完？ - 風傳媒,"Mon, 23 Nov 2015 22:32:21 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH--R6UdLlaholwG1Um00ydD-7u7Q&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=8kNUVpDlItSc4wLq6LqICA&url=http://www.storm.mg/article/74348,121.37163017135556,25.052121589960166
5,巴黎氣候峰會前台灣將提減碳自定承諾 - 風傳媒,"Tue, 24 Nov 2015 10:07:52 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFk9EgQcyFTeDQLAYKaTvQKWkQcBw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745841940&ei=8kNUVpDlItSc4wLq6LqICA&url=http://www.storm.mg/article/74579,2.123923575141094,48.46843855149303
6,「台灣學生很可憐」…美國男花九年這樣體驗台灣 - 聯合新聞網,"Tue, 24 Nov 2015 08:52:00 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE8Fi7r_ZMOK_LJilrsVI_daLPdKQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745478225&ei=8kNUVpDlItSc4wLq6LqICA&url=http://udn.com/news/story/9/1334667-%25E3%2580%258C%25E5%258F%25B0%25E7%2581%25A3%25E5%25AD%25B8%25E7%2594%259F%25E5%25BE%2588%25E5%258F%25AF%25E6%2586%2590%25E3%2580%258D%25E2%2580%25A6%25E7%25BE%258E%25E5%259C%258B%25E7%2594%25B7%25E8%258A%25B1%25E4%25B9%259D%25E5%25B9%25B4%25E9%2580%2599%25E6%25A8%25A3%25E9%25AB%2594%25E9%25A9%2597%25E5%258F%25B0%25E7%2581%25A3,121.25109864952049,25.048209675064673
7,徐旭東：台灣唯有開放才能在世界上競爭 - 聯合新聞網,"Tue, 24 Nov 2015 04:42:00 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF9ywkkN7gwrStQchAQH_JN9Rc6Dw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745470089&ei=8kNUVpDlItSc4wLq6LqICA&url=http://udn.com/news/story/7238/1334296-%25E5%25BE%2590%25E6%2597%25AD%25E6%259D%25B1%25EF%25BC%259A%25E5%258F%25B0%25E7%2581%25A3%25E5%2594%25AF%25E6%259C%2589%25E9%2596%258B%25E6%2594%25BE%25E6%2589%258D%25E8%2583%25BD%25E5%259C%25A8%25E4%25B8%2596%25E7%2595%258C%25E4%25B8%258A%25E7%25AB%25B6%25E7%2588%25AD,121.27963747237806,25.068774708784186
8,《灣生回家》的價值：無法忘懷台灣的日本人 - 聯合新聞網,"Tue, 24 Nov 2015 01:34:09 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF7jNITE6a4qd8CR0sT5Gk9_A3qyg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745303583&ei=8kNUVpDlItSc4wLq6LqICA&url=http://opinion.udn.com/opinion/story/8906/1331927-%25E3%2580%258A%25E7%2581%25A3%25E7%2594%259F%25E5%259B%259E%25E5%25AE%25B6%25E3%2580%258B%25E7%259A%2584%25E5%2583%25B9%25E5%2580%25BC%25EF%25BC%259A%25E7%2584%25A1%25E6%25B3%2595%25E5%25BF%2598%25E6%2587%25B7%25E5%258F%25B0%25E7%2581%25A3%25E7%259A%2584%25E6%2597%25A5%25E6%259C%25AC%25E4%25BA%25BA,139.412421719442,35.49682289988019
9,他用龜甲萬改變台灣味蕾 - 聯合財經網,"Tue, 24 Nov 2015 06:49:19 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHMFm3w-jN2IwDOAMXEJkbdMuK-fg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745628494&ei=8kNUVpDlItSc4wLq6LqICA&url=http://money.udn.com/money/story/5612/1334456-%25E4%25BB%2596%25E7%2594%25A8%25E9%25BE%259C%25E7%2594%25B2%25E8%2590%25AC-%25E6%2594%25B9%25E8%25AE%258A%25E5%258F%25B0%25E7%2581%25A3%25E5%2591%25B3%25E8%2595%25BE,121.26177475288851,25.122418362447554
10,自由談》台灣沒有猶豫的空間 - 自由時報電子報,"Mon, 23 Nov 2015 22:04:02 GMT",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHheE6T7JWgc1jpZ4Mib-4INIvT_Q&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779745087336&ei=8kNUVpDlItSc4wLq6LqICA&url=http://talk.ltn.com.tw/article/paper/935042,121.28167304232055,25.02116263470923
